,host_response_rate,host_acceptance_rate,host_total_listings_count,accommodates,bathrooms,beds,price,availability_60,availability_90,availability_365,number_of_reviews_ltm,reviews_per_month
33003,Mala,Mala,Disponible,Abundante,Abundante,Disponible,61-81,Escaso,Escaso,Raro,Disponible,Escaso
33004,Mala,Mala,Escaso,Abundante,Poco disponible,Poco disponible,20-40,Frecuente,Frecuente,Frecuente,Disponible,Abundante
33005,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Frecuente,Disponible,Disponible
33006,Mala,Mala,Disponible,Abundante,Poco disponible,Disponible,82-101,Comun,Común,Raro,Disponible,Disponible
33007,Mala,Buena,Poco disponible,Abundante,Poco disponible,Poco disponible,123-142,Comun,Común,Raro,Disponible,Disponible
33008,Mala,Mala,Poco disponible,Escaso,Abundante,Disponible,102-122,Comun,Común,Raro,Disponible,Disponible
33009,Mala,Mala,Disponible,Escaso,Poco disponible,Poco disponible,20-40,Comun,Común,Común,Disponible,Disponible
33010,Mala,Mala,Poco disponible,Poco disponible,Abundante,Disponible,164-183,Comun,Común,Poco disponible,Disponible,Disponible
33011,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Raro,Común,Frecuente,Disponible,Poco disponible
33012,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,41-60,Raro,Frecuente,Frecuente,Disponible,Abundante
33013,Mala,Mala,Poco disponible,Abundante,Abundante,Abundante,82-101,Comun,Común,Poco disponible,Disponible,Abundante
33014,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,41-60,Comun,Común,Poco disponible,Disponible,Poco disponible
33015,Mala,Mala,Poco disponible,Abundante,Poco disponible,Disponible,164-183,Comun,Común,Raro,Disponible,Poco disponible
33016,Mala,Mala,Poco disponible,Abundante,Abundante,Abundante,41-60,Raro,Raro,Común,Disponible,Poco disponible
33017,Mala,Mala,Poco disponible,Poco disponible,Abundante,Abundante,41-60,Disponible,Disponible,Disponible,Disponible,Poco disponible
33018,Mala,Mala,Disponible,Poco disponible,Abundante,Disponible,41-60,Comun,Común,Raro,Disponible,Poco disponible
33019,Mala,Buena,Poco disponible,Abundante,Abundante,Disponible,82-101,Comun,Común,Raro,Disponible,Disponible
33020,Mala,Buena,Disponible,Abundante,Abundante,Disponible,82-101,Disponible,Disponible,Escaso,Disponible,Disponible
33021,Mala,Mala,Poco disponible,Escaso,Poco disponible,Abundante,61-81,Escaso,Frecuente,Escaso,Poco disponible,Poco disponible
33022,Mala,Buena,Disponible,Poco disponible,Poco disponible,Disponible,123-142,Disponible,Disponible,Poco disponible,Disponible,Poco disponible
33023,Mala,Mala,Disponible,Escaso,Abundante,Escaso,61-81,Abundante,Abundante,Poco disponible,Disponible,Poco disponible
33024,Mala,Mala,Poco disponible,Abundante,Poco disponible,Abundante,41-60,Frecuente,Escaso,Raro,Disponible,Poco disponible
33025,Mala,Mala,Disponible,Poco disponible,Poco disponible,Disponible,41-60,Comun,Común,Raro,Disponible,Poco disponible
33026,Mala,Mala,Poco disponible,Abundante,Abundante,Poco disponible,143-163,Frecuente,Raro,Escaso,Disponible,Raro
33027,Mala,Mala,Frecuente,Poco disponible,Poco disponible,Poco disponible,41-60,Comun,Común,Común,Poco disponible,Poco disponible
33028,Mala,Mala,Poco disponible,Escaso,Poco disponible,Disponible,82-101,Frecuente,Frecuente,Escaso,Disponible,Poco disponible
33029,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,61-81,Raro,Frecuente,Común,Disponible,Abundante
33030,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Poco disponible,Disponible,Abundante
33031,Mala,Mala,Poco disponible,Abundante,Abundante,Disponible,61-81,Poco disponible,Abundante,Poco disponible,Poco disponible,Raro
33032,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,143-163,Comun,Común,Raro,Disponible,Raro
33033,Mala,Mala,Disponible,Abundante,Poco disponible,Disponible,20-40,Comun,Común,Escaso,Disponible,Escaso
33034,Mala,Mala,Poco disponible,Abundante,Poco disponible,Poco disponible,61-81,Comun,Común,Raro,Disponible,Escaso
33035,Mala,Mala,Poco disponible,Poco disponible,Poco disponible,Disponible,20-40,Comun,Común,Raro,Disponible,Escaso
33036,Mala,Mala,Disponible,Abundante,Poco disponible,Poco disponible,61-81,Raro,Raro,Poco disponible,Disponible,Escaso
33037,Mala,Mala,Disponible,Abundante,Abundante,Abundante,164-183,Comun,Común,Raro,Disponible,Escaso
