,host_response_rate,review_scores_cleanliness,price,number_of_reviews,number_of_reviews,review_scores_communication
294,1.0,4.86,200.0,7.0,7.0,5.0
295,1.0,4.73,441.0,10.0,10.0,4.92
296,1.0,5.0,356.9,3.0,3.0,5.0
297,1.0,4.89,176.0,10.0,10.0,4.93
298,1.0,4.43,160.0,10.0,10.0,4.88
299,0.9,5.0,550.0,6.0,6.0,5.0
300,0.9,5.0,356.9,0.0,0.0,5.0
301,0.99,4.37,1084.0,10.0,10.0,4.85
302,1.0,4.7,367.0,43.0,43.0,4.93
303,1.0,4.85,205.0,10.0,10.0,4.93
304,1.0,4.85,829.0,0.0,0.0,4.93
305,0.89,4.34,195.0,10.0,10.0,5.0
306,1.0,4.71,225.0,53.0,53.0,4.79
307,1.0,4.29,341.0,8.0,8.0,5.0
308,1.0,4.79,250.0,43.0,43.0,4.88
309,1.0,4.68,971.0,50.0,50.0,4.88
310,1.0,4.8,300.0,5.0,5.0,5.0
311,1.0,4.9,252.0,29.0,29.0,5.0
312,0.85,4.72,158.0,10.0,10.0,5.0
313,1.0,4.75,356.9,10.0,10.0,4.78
314,1.0,4.42,225.0,37.0,37.0,4.83
315,1.0,4.82,106.0,10.0,10.0,4.92
316,1.0,5.0,600.0,11.0,11.0,4.82
317,1.0,5.0,200.0,0.0,0.0,4.82
318,1.0,4.83,250.0,24.0,24.0,4.96
319,1.0,4.63,800.0,19.0,19.0,5.0
320,0.92,5.0,545.0,4.0,4.0,5.0
321,1.0,4.28,406.0,10.0,10.0,4.85
322,1.0,5.0,389.0,37.0,37.0,5.0
323,1.0,5.0,356.9,10.0,10.0,5.0
324,1.0,4.64,324.0,10.0,10.0,4.89
325,1.0,4.86,589.0,43.0,43.0,4.95
326,0.9,4.91,205.0,57.0,57.0,4.93
327,0.88,4.39,310.0,10.0,10.0,4.79
328,0.88,4.47,279.0,38.0,38.0,5.0
329,0.88,4.67,288.0,45.0,45.0,4.87
330,1.0,4.75,150.0,19.0,19.0,5.0
331,1.0,4.63,170.0,10.0,10.0,4.93
332,1.0,4.79,356.9,10.0,10.0,4.99
333,0.85,4.69,162.0,10.0,10.0,5.0
334,1.0,4.58,397.0,10.0,10.0,4.85
335,1.0,4.71,296.0,10.0,10.0,4.98
336,1.0,4.9,108.0,10.0,10.0,4.8
337,1.0,4.93,843.0,10.0,10.0,4.92
338,0.92,5.0,356.9,1.0,1.0,5.0
339,1.0,4.82,250.0,38.0,38.0,4.97
340,0.91,4.49,250.0,35.0,35.0,4.8
341,1.0,4.49,750.0,0.0,0.0,4.8
342,1.0,4.72,221.0,10.0,10.0,4.85
343,1.0,4.67,650.0,51.0,51.0,4.96
344,0.96,4.67,773.0,0.0,0.0,4.96
345,1.0,5.0,193.0,8.0,8.0,5.0
346,1.0,4.87,228.0,10.0,10.0,4.89
347,1.0,4.86,540.0,36.0,36.0,4.89
348,1.0,4.86,250.0,14.0,14.0,5.0
349,1.0,4.98,392.0,10.0,10.0,4.98
350,1.0,4.58,298.0,12.0,12.0,5.0
351,1.0,4.67,260.0,3.0,3.0,5.0
352,1.0,4.59,552.0,49.0,49.0,4.78
353,1.0,4.83,253.0,10.0,10.0,4.89
354,1.0,4.76,1086.0,17.0,17.0,5.0
355,1.0,4.75,481.0,10.0,10.0,4.95
356,0.96,5.0,331.0,13.0,13.0,4.75
357,1.0,4.63,160.0,49.0,49.0,4.9
358,1.0,5.0,258.0,1.0,1.0,5.0
359,0.91,4.7,250.0,11.0,11.0,5.0
360,0.91,4.33,211.0,3.0,3.0,5.0
361,0.91,5.0,356.9,1.0,1.0,5.0
362,0.91,4.83,450.0,6.0,6.0,5.0
363,1.0,4.83,255.0,0.0,0.0,5.0
364,1.0,5.0,261.0,13.0,13.0,4.85
365,1.0,4.82,663.0,10.0,10.0,5.0
366,1.0,4.47,200.0,10.0,10.0,4.74
367,1.0,4.71,381.0,7.0,7.0,5.0
368,1.0,5.0,550.0,3.0,3.0,5.0
369,1.0,4.9,387.0,6.0,6.0,4.83
370,1.0,4.84,356.9,50.0,50.0,4.96
371,1.0,4.4,356.9,5.0,5.0,5.0
372,1.0,4.5,400.0,6.0,6.0,5.0
373,1.0,4.72,198.0,10.0,10.0,4.93
374,1.0,5.0,500.0,12.0,12.0,5.0
375,1.0,5.0,500.0,0.0,0.0,5.0
376,1.0,4.75,607.0,10.0,10.0,4.89
377,0.86,4.72,500.0,30.0,30.0,4.93
378,1.0,4.9,339.0,10.0,10.0,4.97
379,1.0,4.85,743.0,41.0,41.0,4.93
380,1.0,4.69,299.0,26.0,26.0,4.85
381,1.0,4.39,375.0,10.0,10.0,4.76
382,1.0,4.94,166.0,10.0,10.0,4.9
383,1.0,5.0,160.0,2.0,2.0,5.0
384,1.0,4.9,356.9,1.0,1.0,5.0
385,1.0,4.77,316.0,10.0,10.0,4.87
386,1.0,4.42,168.0,24.0,24.0,4.79
387,1.0,4.42,280.0,10.0,10.0,5.0
388,1.0,4.42,356.9,0.0,0.0,5.0
389,0.96,5.0,356.9,1.0,1.0,5.0
390,0.96,4.63,356.9,8.0,8.0,5.0
391,0.96,5.0,356.9,4.0,4.0,5.0
